"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Overall","","","","","HEADER",2,0,0,0
"Prior to infusion","","","","","HEADER",2,1,1,0
"N","53","73","126","59","N",2,2,2,0
"Infusion delayed","12 (22.6%)","20 (27.4%)","32 (25.4%)","13 (22.0%)","VALUE",2,3,3,0
"Other","1 (1.9%)","0","1 (0.8%)","0","VALUE",2,4,4,0
"Study agent permanently discontinued","13 (24.5%)","16 (21.9%)","29 (23.0%)","24 (40.7%)","VALUE",3,3,4,1
"Adverse Event","1 (1.9%)","0","1 (0.8%)","0","VALUE",3,4,5,0
"During infusion","","","","","HEADER",4,1,5,1
"N","53","73","126","59","N",4,2,6,0
"Infusion interrupted","19 (35.8%)","24 (32.9%)","43 (34.1%)","19 (32.2%)","VALUE",4,3,7,0
"Adverse Event","1 (1.9%)","0","1 (0.8%)","0","VALUE",4,4,8,0
"Week 2","","","","","HEADER",5,0,8,1
"Prior to infusion","","","","","HEADER",5,1,9,0
"N","53","52","105","56","N",5,2,10,0
"Study agent permanently discontinued","9 (17.0%)","3 (5.8%)","12 (11.4%)","9 (16.1%)","VALUE",5,3,11,0
"Adverse Event","1 (1.9%)","0","1 (1.0%)","0","VALUE",5,4,12,0
"During infusion","","","","","HEADER",6,1,12,1
"N","53","52","105","56","N",6,2,13,0
"Infusion interrupted","12 (22.6%)","12 (23.1%)","24 (22.9%)","11 (19.6%)","VALUE",6,3,14,0
"Adverse Event","1 (1.9%)","0","1 (1.0%)","0","VALUE",6,4,15,0
"Week 24","","","","","HEADER",7,0,15,1
"Prior to infusion","","","","","HEADER",7,1,16,0
"N","20","15","35","40","N",7,2,17,0
"Infusion delayed","5 (25.0%)","2 (13.3%)","7 (20.0%)","5 (12.5%)","VALUE",7,3,18,0
"Other","1 (5.0%)","0","1 (2.9%)","0","VALUE",7,4,19,0
