"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Compliance (%)\super a\nosupersub ","","","","","HEADER",2,0,0,0
"N","53","73","126","59","N",2,1,1,0
"Mean (SD)","63.7 (35.23)","66.5 (38.42)","65.3 (36.99)","57.0 (36.23)","VALUE",2,2,2,0
"Median","64.0","70.0","68.0","50.0","VALUE",2,2,3,0
"Min, max","0, 120","1, 122","0, 122","1, 124","VALUE",2,2,4,0
"Compliance \super a\nosupersub , n (%)","","","","","HEADER",3,1,4,1
"<60%","22 (41.5%)","28 (38.4%)","50 (39.7%)","32 (54.2%)","VALUE",3,2,5,0
"60% to <80%","11 (20.8%)","13 (17.8%)","24 (19.0%)","9 (15.3%)","VALUE",3,2,6,0
"80% to <100%","8 (15.1%)","14 (19.2%)","22 (17.5%)","8 (13.6%)","VALUE",3,2,7,0
"≥100%","12 (22.6%)","18 (24.7%)","30 (23.8%)","10 (16.9%)","VALUE",3,2,8,0
