"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Overall","53","73","126","59","VALUE",2,0,0,0
"Dose not administered","47 (88.7%)","52 (71.2%)","99 (78.6%)","49 (83.1%)","VALUE",2,1,1,0
"Adverse Event","1 (1.9%)","0","1 (0.8%)","0","VALUE",2,2,2,0
"Other","1 (1.9%)","0","1 (0.8%)","0","VALUE",2,2,3,0
"Dose adjusted","1 (1.9%)","0","1 (0.8%)","0","VALUE",2,1,4,0
"Adverse Event","1 (1.9%)","0","1 (0.8%)","0","VALUE",2,2,5,0
"Other","1 (1.9%)","0","1 (0.8%)","0","VALUE",2,2,6,0
"Baseline","53","73","126","59","VALUE",3,0,6,1
"Dose not administered","28 (52.8%)","36 (49.3%)","64 (50.8%)","24 (40.7%)","VALUE",3,1,7,0
"Week 2","53","52","105","56","VALUE",4,0,7,1
"Dose not administered","28 (52.8%)","28 (53.8%)","56 (53.3%)","30 (53.6%)","VALUE",4,1,8,0
"Adverse Event","1 (1.9%)","0","1 (1.0%)","0","VALUE",4,2,9,0
"Dose adjusted","1 (1.9%)","0","1 (1.0%)","0","VALUE",4,1,10,0
"Adverse Event","1 (1.9%)","0","1 (1.0%)","0","VALUE",4,2,11,0
"Week 24","20","15","35","40","VALUE",5,0,11,1
"Dose not administered","9 (45.0%)","8 (53.3%)","17 (48.6%)","25 (62.5%)","VALUE",5,1,12,0
"Adverse Event","1 (5.0%)","0","1 (2.9%)","0","VALUE",5,2,13,0
"Other","1 (5.0%)","0","1 (2.9%)","0","VALUE",5,2,14,0
"Dose adjusted","1 (5.0%)","0","1 (2.9%)","0","VALUE",5,1,15,0
"Adverse Event","1 (5.0%)","0","1 (2.9%)","0","VALUE",5,2,16,0
"Other","1 (5.0%)","0","1 (2.9%)","0","VALUE",5,2,17,0
