"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Total number of cycles received","","","","","HEADER",2,0,0,0
"N","53","73","126","59","N",2,1,1,0
"Mean (SD)","12.1 (7.40)","12.9 (6.50)","12.5 (6.88)","12.0 (7.44)","VALUE",2,2,2,0
"Median","12.0","13.0","13.0","12.0","VALUE",2,2,3,0
"Min, max","0, 24","0, 24","0, 24","0, 24","VALUE",2,2,4,0
"Total number of cycles received, n (%)","","","","","HEADER",3,1,4,1
"1 to <10","19 (37.3%)","21 (29.6%)","40 (32.8%)","24 (42.1%)","VALUE",3,2,5,0
"10 to <20","21 (41.2%)","35 (49.3%)","56 (45.9%)","21 (36.8%)","VALUE",3,2,6,0
"≥20","11 (21.6%)","15 (21.1%)","26 (21.3%)","12 (21.1%)","VALUE",3,2,7,0
"Total number of cycles received\super a\nosupersub , n (%)","","","","","HEADER",4,1,7,1
"≥1","51 (96.2%)","71 (97.3%)","122 (96.8%)","57 (96.6%)","VALUE",4,2,8,0
"≥2","49 (92.5%)","69 (94.5%)","118 (93.7%)","56 (94.9%)","VALUE",4,2,9,0
"≥3","46 (86.8%)","69 (94.5%)","115 (91.3%)","54 (91.5%)","VALUE",4,2,10,0
"≥5","43 (81.1%)","66 (90.4%)","109 (86.5%)","48 (81.4%)","VALUE",4,2,11,0
"≥10","32 (60.4%)","50 (68.5%)","82 (65.1%)","33 (55.9%)","VALUE",4,2,12,0
