"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Total number of administrations","","","","","HEADER",2,0,0,0
"N","53","73","126","59","N",2,1,1,0
"Mean (SD)","12.6 (9.24)","15.0 (8.78)","14.0 (9.02)","16.1 (9.01)","VALUE",2,2,2,0
"Median","11.0","16.0","15.0","17.0","VALUE",2,2,3,0
"Min, max","0, 29","0, 29","0, 29","0, 30","VALUE",2,2,4,0
"Interquartile range","4.0, 21.0","7.0, 23.0","5.0, 22.0","8.0, 24.0","VALUE",2,2,5,0
"Total number of administrations, n (%)","","","","","HEADER",3,1,5,1
"1 to <10","19 (38.0%)","21 (29.6%)","40 (33.1%)","15 (26.3%)","VALUE",3,2,6,0
"10 to <20","13 (26.0%)","22 (31.0%)","35 (28.9%)","15 (26.3%)","VALUE",3,2,7,0
"≥20","18 (36.0%)","28 (39.4%)","46 (38.0%)","27 (47.4%)","VALUE",3,2,8,0
"Total number of administrations\super a\nosupersub , n (%)","","","","","HEADER",4,1,8,1
"≥1","53 (100.0%)","73 (100.0%)","126 (100.0%)","59 (100.0%)","VALUE",4,2,9,0
"≥2","47 (88.7%)","68 (93.2%)","115 (91.3%)","56 (94.9%)","VALUE",4,2,10,0
"≥3","45 (84.9%)","66 (90.4%)","111 (88.1%)","54 (91.5%)","VALUE",4,2,11,0
"≥5","36 (67.9%)","61 (83.6%)","97 (77.0%)","50 (84.7%)","VALUE",4,2,12,0
"≥10","31 (58.5%)","50 (68.5%)","81 (64.3%)","42 (71.2%)","VALUE",4,2,13,0
"Cumulative dose ([units])","","","","","HEADER",5,0,13,1
"N","53","73","126","59","N",5,1,14,0
"Mean (SD)","2799.3 (1430.11)","2558.4 (1472.53)","2659.7 (1453.97)","2520.5 (1474.47)","VALUE",5,2,15,0
"Median","3301.0","2465.0","2884.5","2660.0","VALUE",5,2,16,0
"Min, max","298, 4927","102, 4978","102, 4978","187, 4963","VALUE",5,2,17,0
"Interquartile range","1561.0, 3984.0","1177.0, 3859.0","1326.0, 3914.0","1118.0, 4098.0","VALUE",5,2,18,0
