"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Total dosing days of treatment (excluding days off treatment)\super a\nosupersub ","","","","","HEADER",2,0,0,0
"N","53","73","126","59","N",2,1,1,0
"Mean (SD)","99.0 (57.97)","106.7 (56.44)","103.4 (56.98)","93.8 (59.12)","VALUE",2,2,2,0
"Median","97.0","103.0","102.5","76.0","VALUE",2,2,3,0
"Min, max","1, 197","6, 198","1, 198","7, 200","VALUE",2,2,4,0
"Interquartile range","48.0, 142.0","60.0, 159.0","55.0, 154.0","51.0, 151.0","VALUE",2,2,5,0
"Cumulative dose ([unit])","","","","","HEADER",3,0,5,1
"N","53","73","126","59","N",3,1,6,0
"Mean (SD)","2799.3 (1430.11)","2558.4 (1472.53)","2659.7 (1453.97)","2520.5 (1474.47)","VALUE",3,2,7,0
"Median","3301.0","2465.0","2884.5","2660.0","VALUE",3,2,8,0
"Min, max","298, 4927","102, 4978","102, 4978","187, 4963","VALUE",3,2,9,0
"Interquartile range","1561.0, 3984.0","1177.0, 3859.0","1326.0, 3914.0","1118.0, 4098.0","VALUE",3,2,10,0
"Average daily dose ([unit/day]) (including days off treatment)","","","","","HEADER",4,0,10,1
"N","53","73","126","59","N",4,1,11,0
"Mean (SD)","24.57 (11.958)","24.36 (9.463)","24.45 (10.539)","27.44 (10.456)","VALUE",4,2,12,0
"Median","23.20","23.60","23.40","28.20","VALUE",4,2,13,0
"Min, max","5.2, 44.9","5.1, 44.2","5.1, 44.9","6.7, 44.5","VALUE",4,2,14,0
"Interquartile range","13.80, 35.90","17.40, 30.20","16.20, 32.70","19.50, 35.90","VALUE",4,2,15,0
"Average daily dose ([unit/day]) (excluding days off treatment)","","","","","HEADER",5,0,15,1
"N","53","73","126","59","N",5,1,16,0
"Mean (SD)","27.43 (12.232)","30.60 (12.574)","29.27 (12.482)","23.88 (12.279)","VALUE",5,2,17,0
"Median","25.70","30.30","28.10","21.90","VALUE",5,2,18,0
"Min, max","6.2, 49.6","5.0, 50.0","5.0, 50.0","6.3, 49.9","VALUE",5,2,19,0
"Interquartile range","18.20, 39.00","20.40, 41.80","19.30, 39.40","12.80, 34.10","VALUE",5,2,20,0
"Modal daily dose ([unit/day]), n (%)","","","","","HEADER",6,0,20,1
