"label","col 1","col 2","col 3","col 4","col 5","col 6","col 7","col 8","row_type","anbr","indentme","roworder","newrows"
"Day 1 - Pre-dose","72","0.00","0.00","0.00","0.00","0.00","NA","NA","VALUE",2,0,0,0
"Day 1 - 5 Min Post-dose","72","0.10","0.00","0.10","0.09","0.11","4.9","0.10","VALUE",2,0,1,0
"Day 1 - 30 Min Post-dose","72","0.54","0.02","0.54","0.50","0.60","4.4","0.54","VALUE",2,0,2,0
"Day 1 - 1h Post-dose","72","0.93","0.04","0.93","0.86","1.02","4.0","0.93","VALUE",2,0,3,0
"Day 1 - 1.5h Post-dose","72","1.20","0.04","1.20","1.12","1.31","3.7","1.20","VALUE",2,0,4,0
"Day 1 - 2h Post-dose","72","1.39","0.05","1.38","1.31","1.50","3.4","1.39","VALUE",2,0,5,0
"Day 1 - 4h Post-dose","72","1.73","0.05","1.73","1.65","1.84","3.0","1.73","VALUE",2,0,6,0
"Day 1 - 0-6h Post-dose","72","26.85","1.51","26.80","24.49","29.19","5.6","26.81","VALUE",2,0,7,0
"Day 1 - 6h Post-dose","72","1.82","0.05","1.82","1.74","1.92","3.0","1.82","VALUE",2,0,8,0
"Day 1 - 8h Post-dose","72","1.84","0.05","1.84","1.76","1.94","3.0","1.84","VALUE",2,0,9,0
"Day 1 - 6-12h Post-dose","72","22.67","1.69","22.62","20.01","25.27","7.4","22.60","VALUE",2,0,10,0
"Day 1 - 12h Post-dose","72","0.55","0.03","0.55","0.49","0.62","6.2","0.55","VALUE",2,0,11,0
"Day 1 - 16h Post-dose","72","0.16","0.02","0.17","0.13","0.20","11.0","0.16","VALUE",2,0,12,0
"Day 1 - 12-24h Post-dose","72","14.30","2.04","14.26","11.07","17.44","14.3","14.15","VALUE",2,0,13,0
"Day 2 - 24h Post-dose","72","0.01","0.00","0.01","0.01","0.02","20.9","0.01","VALUE",2,0,14,0
"Day 2 - Pre-dose","72","0.01","0.00","0.01","0.01","0.02","20.9","0.01","VALUE",2,0,15,0
"Day 2 - 36h Post-dose","72","0.00","0.00","0.00","0.00","0.00","0.0","0.01","VALUE",2,0,16,0
"Day 2 - 24-48h Post-dose","72","0.28","0.53","0.00","0.00","1.78","191.0","0.02","VALUE",2,0,17,0
"Day 3 - 48h Post-dose","72","0.00","0.00","0.00","0.00","0.00","0.0","0.01","VALUE",2,0,18,0
"Day 3 - Pre-dose","72","0.00","0.00","0.00","0.00","0.00","0.0","0.01","VALUE",2,0,19,0
