"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Analysis set: Safety","59","7","19","33","VALUE",2,0,0,0
"Subjects with ≥1 AE","42 (71.2%)","3 (42.9%)","13 (68.4%)","26 (78.8%)","VALUE",3,0,0,1
"General disorders and administration site conditions","16 (27.1%)","2 (28.6%)","6 (31.6%)","8 (24.2%)","VALUE",4,0,0,1
"APPLICATION SITE PRURITUS","4 (6.8%)","1 (14.3%)","0","3 (9.1%)","VALUE",4,1,1,0
"APPLICATION SITE ERYTHEMA","2 (3.4%)","0","2 (10.5%)","0","VALUE",4,1,2,0
"APPLICATION SITE IRRITATION","2 (3.4%)","1 (14.3%)","0","1 (3.0%)","VALUE",4,1,3,0
"APPLICATION SITE DERMATITIS","5 (8.5%)","0","3 (15.8%)","2 (6.1%)","VALUE",4,1,4,0
"FATIGUE","0","0","0","0","VALUE",4,1,5,0
"APPLICATION SITE VESICLES","0","0","0","0","VALUE",4,1,6,0
"APPLICATION SITE SWELLING","0","0","0","0","VALUE",4,1,7,0
"MALAISE","0","0","0","0","VALUE",4,1,8,0
"APPLICATION SITE PAIN","0","0","0","0","VALUE",4,1,9,0
"APPLICATION SITE PERSPIRATION","0","0","0","0","VALUE",4,1,10,0
"APPLICATION SITE URTICARIA","0","0","0","0","VALUE",4,1,11,0
"CHEST DISCOMFORT","0","0","0","0","VALUE",4,1,12,0
"CHEST PAIN","0","0","0","0","VALUE",4,1,13,0
"OEDEMA PERIPHERAL","2 (3.4%)","0","1 (5.3%)","1 (3.0%)","VALUE",4,1,14,0
"APPLICATION SITE BLEEDING","0","0","0","0","VALUE",4,1,15,0
"APPLICATION SITE DESQUAMATION","0","0","0","0","VALUE",4,1,16,0
"APPLICATION SITE REACTION","1 (1.7%)","0","0","1 (3.0%)","VALUE",4,1,17,0
"ASTHENIA","1 (1.7%)","1 (14.3%)","0","0","VALUE",4,1,18,0
"CHILLS","0","0","0","0","VALUE",4,1,19,0
"FEELING ABNORMAL","0","0","0","0","VALUE",4,1,20,0
"FEELING COLD","0","0","0","0","VALUE",4,1,21,0
"OEDEMA","0","0","0","0","VALUE",4,1,22,0
"PAIN","0","0","0","0","VALUE",4,1,23,0
"PYREXIA","2 (3.4%)","0","0","2 (6.1%)","VALUE",4,1,24,0
"SECRETION DISCHARGE","0","0","0","0","VALUE",4,1,25,0
"SUDDEN DEATH","0","0","0","0","VALUE",4,1,26,0
"ULCER","0","0","0","0","VALUE",4,1,27,0
"APPLICATION SITE INDURATION","1 (1.7%)","0","0","1 (3.0%)","VALUE",4,1,28,0
"Skin and subcutaneous tissue disorders","16 (27.1%)","2 (28.6%)","4 (21.1%)","10 (30.3%)","VALUE",5,0,28,1
