"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Subjects with ≥1 AE","51 (96.2%)","62 (84.9%)","113 (89.7%)","42 (71.2%)","VALUE",2,0,0,0
"General disorders and administration site conditions","26 (49.1%)","38 (52.1%)","64 (50.8%)","16 (27.1%)","VALUE",3,0,0,1
"APPLICATION SITE PRURITUS","13 (24.5%)","18 (24.7%)","31 (24.6%)","4 (6.8%)","VALUE",3,1,1,0
"Mild","7 (13.2%)","11 (15.1%)","18 (14.3%)","3 (5.1%)","VALUE",3,2,2,0
"Moderate","6 (11.3%)","7 (9.6%)","13 (10.3%)","1 (1.7%)","VALUE",3,2,3,0
"APPLICATION SITE ERYTHEMA","10 (18.9%)","11 (15.1%)","21 (16.7%)","2 (3.4%)","VALUE",4,1,3,1
"Mild","7 (13.2%)","4 (5.5%)","11 (8.7%)","2 (3.4%)","VALUE",4,2,4,0
"Moderate","3 (5.7%)","6 (8.2%)","9 (7.1%)","0","VALUE",4,2,5,0
"Severe","0","1 (1.4%)","1 (0.8%)","0","VALUE",4,2,6,0
"APPLICATION SITE IRRITATION","8 (15.1%)","7 (9.6%)","15 (11.9%)","2 (3.4%)","VALUE",5,1,6,1
"Mild","3 (5.7%)","2 (2.7%)","5 (4.0%)","0","VALUE",5,2,7,0
"Moderate","5 (9.4%)","3 (4.1%)","8 (6.3%)","2 (3.4%)","VALUE",5,2,8,0
"Severe","0","2 (2.7%)","2 (1.6%)","0","VALUE",5,2,9,0
"APPLICATION SITE DERMATITIS","4 (7.5%)","7 (9.6%)","11 (8.7%)","5 (8.5%)","VALUE",6,1,9,1
"Mild","2 (3.8%)","3 (4.1%)","5 (4.0%)","5 (8.5%)","VALUE",6,2,10,0
"Moderate","2 (3.8%)","4 (5.5%)","6 (4.8%)","0","VALUE",6,2,11,0
"FATIGUE","5 (9.4%)","5 (6.8%)","10 (7.9%)","0","VALUE",7,1,11,1
"Mild","5 (9.4%)","3 (4.1%)","8 (6.3%)","0","VALUE",7,2,12,0
"Moderate","0","2 (2.7%)","2 (1.6%)","0","VALUE",7,2,13,0
"APPLICATION SITE VESICLES","4 (7.5%)","4 (5.5%)","8 (6.3%)","0","VALUE",8,1,13,1
"Mild","2 (3.8%)","2 (2.7%)","4 (3.2%)","0","VALUE",8,2,14,0
"Moderate","2 (3.8%)","2 (2.7%)","4 (3.2%)","0","VALUE",8,2,15,0
