"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Subjects with ≥ 1 Abdominal Pain","46 (86.8%)","54 (74.0%)","100 (79.4%)","33 (55.9%)","VALUE",2,0,0,0
"Sex, n/Ns (%)","","","","","HEADER",3,0,0,1
"Male","28/29 (96.6%)","27/34 (79.4%)","55/63 (87.3%)","14/23 (60.9%)","VALUE",3,1,1,0
"Female","18/24 (75.0%)","27/39 (69.2%)","45/63 (71.4%)","19/36 (52.8%)","VALUE",3,1,2,0
"Age group (years), n/Ns (%)","","","","","HEADER",4,0,2,1
"≥18 to <65","7/8 (87.5%)","3/5 (60.0%)","10/13 (76.9%)","3/7 (42.9%)","VALUE",4,1,3,0
"≥65 to <75","12/16 (75.0%)","14/17 (82.4%)","26/33 (78.8%)","10/19 (52.6%)","VALUE",4,1,4,0
"≥75","27/29 (93.1%)","37/51 (72.5%)","64/80 (80.0%)","20/33 (60.6%)","VALUE",4,1,5,0
"Race, n/Ns (%)","","","","","HEADER",5,0,5,1
"American Indian or Alaska Native","5/5 (100.0%)","9/10 (90.0%)","14/15 (93.3%)","2/3 (66.7%)","VALUE",5,1,6,0
"Asian","9/10 (90.0%)","6/9 (66.7%)","15/19 (78.9%)","3/5 (60.0%)","VALUE",5,1,7,0
"Black or African American","3/3 (100.0%)","7/11 (63.6%)","10/14 (71.4%)","4/7 (57.1%)","VALUE",5,1,8,0
"Native Hawaiian or other Pacific Islander","6/7 (85.7%)","5/5 (100.0%)","11/12 (91.7%)","4/5 (80.0%)","VALUE",5,1,9,0
"White","7/8 (87.5%)","6/8 (75.0%)","13/16 (81.2%)","4/7 (57.1%)","VALUE",5,1,10,0
"Multiple","8/8 (100.0%)","7/10 (70.0%)","15/18 (83.3%)","1/5 (20.0%)","VALUE",5,1,11,0
"Not reported or unknown","7/11 (63.6%)","9/12 (75.0%)","16/23 (69.6%)","11/17 (64.7%)","VALUE",5,1,12,0
"Other","1/1 (100.0%)","5/8 (62.5%)","6/9 (66.7%)","4/10 (40.0%)","VALUE",5,1,13,0
"Ethnicity, n/Ns (%)","","","","","HEADER",6,0,13,1
"Hispanic or Latino","12/15 (80.0%)","12/15 (80.0%)","24/30 (80.0%)","6/12 (50.0%)","VALUE",6,1,14,0
"Not Hispanic or Latino","13/15 (86.7%)","12/18 (66.7%)","25/33 (75.8%)","10/16 (62.5%)","VALUE",6,1,15,0
"Not reported or unknown","21/23 (91.3%)","30/40 (75.0%)","51/63 (81.0%)","17/31 (54.8%)","VALUE",6,1,16,0
