"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Subjects with ≥ 1 AE","51 (96.2%)","62 (84.9%)","113 (89.7%)","42 (71.2%)","VALUE",2,0,0,0
"Sex, n/Ns (%)","","","","","HEADER",3,0,0,1
"Male","28/29 (96.6%)","30/34 (88.2%)","58/63 (92.1%)","16/23 (69.6%)","VALUE",3,1,1,0
"Female","23/24 (95.8%)","32/39 (82.1%)","55/63 (87.3%)","26/36 (72.2%)","VALUE",3,1,2,0
"Age group (years), n/Ns (%)","","","","","HEADER",4,0,2,1
"≥18 to <65","8/8 (100.0%)","5/5 (100.0%)","13/13 (100.0%)","3/7 (42.9%)","VALUE",4,1,3,0
"≥65 to <75","14/16 (87.5%)","15/17 (88.2%)","29/33 (87.9%)","13/19 (68.4%)","VALUE",4,1,4,0
"≥75","29/29 (100.0%)","42/51 (82.4%)","71/80 (88.8%)","26/33 (78.8%)","VALUE",4,1,5,0
"Race, n/Ns (%)","","","","","HEADER",5,0,5,1
"American Indian or Alaska Native","5/5 (100.0%)","9/10 (90.0%)","14/15 (93.3%)","3/3 (100.0%)","VALUE",5,1,6,0
"Asian","10/10 (100.0%)","9/9 (100.0%)","19/19 (100.0%)","5/5 (100.0%)","VALUE",5,1,7,0
"Black or African American","3/3 (100.0%)","8/11 (72.7%)","11/14 (78.6%)","5/7 (71.4%)","VALUE",5,1,8,0
"Native Hawaiian or other Pacific Islander","7/7 (100.0%)","5/5 (100.0%)","12/12 (100.0%)","4/5 (80.0%)","VALUE",5,1,9,0
"White","8/8 (100.0%)","7/8 (87.5%)","15/16 (93.8%)","5/7 (71.4%)","VALUE",5,1,10,0
"Multiple","8/8 (100.0%)","8/10 (80.0%)","16/18 (88.9%)","1/5 (20.0%)","VALUE",5,1,11,0
"Not reported or unknown","9/11 (81.8%)","10/12 (83.3%)","19/23 (82.6%)","13/17 (76.5%)","VALUE",5,1,12,0
"Other","1/1 (100.0%)","6/8 (75.0%)","7/9 (77.8%)","6/10 (60.0%)","VALUE",5,1,13,0
"Ethnicity, n/Ns (%)","","","","","HEADER",6,0,13,1
"Hispanic or Latino","14/15 (93.3%)","13/15 (86.7%)","27/30 (90.0%)","10/12 (83.3%)","VALUE",6,1,14,0
"Not Hispanic or Latino","14/15 (93.3%)","15/18 (83.3%)","29/33 (87.9%)","13/16 (81.2%)","VALUE",6,1,15,0
"Not reported or unknown","23/23 (100.0%)","34/40 (85.0%)","57/63 (90.5%)","19/31 (61.3%)","VALUE",6,1,16,0
