"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Subjects with ≥1 related non-serious AE","9 (17.0%)","11 (15.1%)","20 (15.9%)","14 (23.7%)","VALUE",2,0,0,0
"DIZZINESS","3 (5.7%)","2 (2.7%)","5 (4.0%)","0","VALUE",3,0,0,1
"FATIGUE","1 (1.9%)","2 (2.7%)","3 (2.4%)","0","VALUE",3,0,1,0
"CONTUSION","1 (1.9%)","1 (1.4%)","2 (1.6%)","0","VALUE",3,0,2,0
"HEADACHE","2 (3.8%)","0","2 (1.6%)","0","VALUE",3,0,3,0
"ABDOMINAL PAIN","0","1 (1.4%)","1 (0.8%)","1 (1.7%)","VALUE",3,0,4,0
"ASTHENIA","0","1 (1.4%)","1 (0.8%)","0","VALUE",3,0,5,0
"DIARRHOEA","0","1 (1.4%)","1 (0.8%)","0","VALUE",3,0,6,0
"INCREASED APPETITE","1 (1.9%)","0","1 (0.8%)","0","VALUE",3,0,7,0
"MALAISE","1 (1.9%)","0","1 (0.8%)","0","VALUE",3,0,8,0
"AGITATION","0","0","0","1 (1.7%)","VALUE",3,0,9,0
"ALOPECIA","0","0","0","1 (1.7%)","VALUE",3,0,10,0
"BLEEDING ANOVULATORY","0","0","0","1 (1.7%)","VALUE",3,0,11,0
"BUNDLE BRANCH BLOCK RIGHT","0","0","0","1 (1.7%)","VALUE",3,0,12,0
"CONFUSIONAL STATE","0","0","0","1 (1.7%)","VALUE",3,0,13,0
"CONJUNCTIVITIS","0","0","0","1 (1.7%)","VALUE",3,0,14,0
"CONSTIPATION","0","0","0","1 (1.7%)","VALUE",3,0,15,0
"ELECTROCARDIOGRAM ST SEGMENT DEPRESSION","0","0","0","1 (1.7%)","VALUE",3,0,16,0
"ELECTROCARDIOGRAM T WAVE AMPLITUDE DECREASED","0","0","0","1 (1.7%)","VALUE",3,0,17,0
"ELECTROCARDIOGRAM T WAVE INVERSION","0","0","0","1 (1.7%)","VALUE",3,0,18,0
"EYE PRURITUS","0","0","0","1 (1.7%)","VALUE",3,0,19,0
"GASTROENTERITIS VIRAL","0","0","0","1 (1.7%)","VALUE",3,0,20,0
"HYPERHIDROSIS","0","0","0","1 (1.7%)","VALUE",3,0,21,0
"HYPOTENSION","0","0","0","1 (1.7%)","VALUE",3,0,22,0
"MYOCARDIAL INFARCTION","0","0","0","2 (3.4%)","VALUE",3,0,23,0
