"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Analysis set: Safety","73","5","17","51","VALUE",2,0,0,0
"Subjects with ≥1 AE","62 (84.9%)","5 (100.0%)","15 (88.2%)","42 (82.4%)","VALUE",3,0,0,1
"General disorders and administration site conditions","38 (52.1%)","4 (80.0%)","10 (58.8%)","24 (47.1%)","VALUE",4,0,0,1
"APPLICATION SITE PRURITUS","18 (24.7%)","3 (60.0%)","5 (29.4%)","10 (19.6%)","VALUE",4,1,1,0
"APPLICATION SITE ERYTHEMA","11 (15.1%)","1 (20.0%)","3 (17.6%)","7 (13.7%)","VALUE",4,1,2,0
"APPLICATION SITE IRRITATION","7 (9.6%)","1 (20.0%)","2 (11.8%)","4 (7.8%)","VALUE",4,1,3,0
"APPLICATION SITE DERMATITIS","7 (9.6%)","0","1 (5.9%)","6 (11.8%)","VALUE",4,1,4,0
"FATIGUE","5 (6.8%)","0","1 (5.9%)","4 (7.8%)","VALUE",4,1,5,0
"APPLICATION SITE VESICLES","4 (5.5%)","1 (20.0%)","2 (11.8%)","1 (2.0%)","VALUE",4,1,6,0
"APPLICATION SITE SWELLING","1 (1.4%)","1 (20.0%)","0","0","VALUE",4,1,7,0
"MALAISE","1 (1.4%)","0","0","1 (2.0%)","VALUE",4,1,8,0
"APPLICATION SITE PAIN","0","0","0","0","VALUE",4,1,9,0
"APPLICATION SITE PERSPIRATION","0","0","0","0","VALUE",4,1,10,0
"APPLICATION SITE URTICARIA","2 (2.7%)","0","2 (11.8%)","0","VALUE",4,1,11,0
"CHEST DISCOMFORT","1 (1.4%)","0","1 (5.9%)","0","VALUE",4,1,12,0
"CHEST PAIN","0","0","0","0","VALUE",4,1,13,0
"OEDEMA PERIPHERAL","1 (1.4%)","0","0","1 (2.0%)","VALUE",4,1,14,0
"APPLICATION SITE BLEEDING","1 (1.4%)","0","0","1 (2.0%)","VALUE",4,1,15,0
"APPLICATION SITE DESQUAMATION","1 (1.4%)","0","0","1 (2.0%)","VALUE",4,1,16,0
"APPLICATION SITE REACTION","0","0","0","0","VALUE",4,1,17,0
"ASTHENIA","1 (1.4%)","0","0","1 (2.0%)","VALUE",4,1,18,0
"CHILLS","0","0","0","0","VALUE",4,1,19,0
"FEELING ABNORMAL","0","0","0","0","VALUE",4,1,20,0
"FEELING COLD","0","0","0","0","VALUE",4,1,21,0
"OEDEMA","1 (1.4%)","0","0","1 (2.0%)","VALUE",4,1,22,0
