"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows"
"Skin and subcutaneous tissue disorders","34 (64.2%)","28 (38.4%)","62 (49.2%)","11 (18.6%)","45.5 (29.2, 61.8)","19.7 (4.8, 34.7)","VALUE",2,0,0,0
"Pruritus","24 (45.3%)","21 (28.8%)","45 (35.7%)","6 (10.2%)","35.1 (19.7, 50.6)","18.6 (5.7, 31.5)","VALUE",2,1,1,0
"PRURITUS","12 (22.6%)","10 (13.7%)","22 (17.5%)","3 (5.1%)","17.6 (5.0, 30.1)","8.6 (-1.1, 18.3)","VALUE",2,2,2,0
"APPLICATION SITE PRURITUS","9 (17.0%)","10 (13.7%)","19 (15.1%)","3 (5.1%)","11.9 (0.3, 23.5)","8.6 (-1.1, 18.3)","VALUE",2,2,3,0
"RASH PRURITIC","2 (3.8%)","1 (1.4%)","3 (2.4%)","0","3.8 (-1.4, 8.9)","1.4 (-1.3, 4.0)","VALUE",2,2,4,0
"PRURITUS GENERALISED","1 (1.9%)","0","1 (0.8%)","0","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","VALUE",2,2,5,0
"EYE PRURITUS","0","0","0","1 (1.7%)","-1.7 (-5.0, 1.6)","-1.7 (-5.0, 1.6)","VALUE",2,2,6,0
"Erythema","16 (30.2%)","14 (19.2%)","30 (23.8%)","5 (8.5%)","21.7 (7.5, 36.0)","10.7 (-0.8, 22.2)","VALUE",2,1,7,0
"APPLICATION SITE ERYTHEMA","8 (15.1%)","8 (11.0%)","16 (12.7%)","1 (1.7%)","13.4 (3.2, 23.6)","9.3 (1.4, 17.2)","VALUE",2,2,8,0
"ERYTHEMA","9 (17.0%)","6 (8.2%)","15 (11.9%)","4 (6.8%)","10.2 (-1.8, 22.2)","1.4 (-7.6, 10.4)","VALUE",2,2,9,0
"Rash","10 (18.9%)","8 (11.0%)","18 (14.3%)","4 (6.8%)","12.1 (-0.2, 24.4)","4.2 (-5.4, 13.8)","VALUE",2,1,10,0
"RASH","2 (3.8%)","4 (5.5%)","6 (4.8%)","4 (6.8%)","-3.0 (-11.2, 5.2)","-1.3 (-9.6, 7.0)","VALUE",2,2,11,0
"APPLICATION SITE VESICLES","4 (7.5%)","1 (1.4%)","5 (4.0%)","0","7.5 (0.4, 14.7)","1.4 (-1.3, 4.0)","VALUE",2,2,12,0
"RASH PRURITIC","2 (3.8%)","1 (1.4%)","3 (2.4%)","0","3.8 (-1.4, 8.9)","1.4 (-1.3, 4.0)","VALUE",2,2,13,0
"URTICARIA","1 (1.9%)","1 (1.4%)","2 (1.6%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","VALUE",2,2,14,0
"BLISTER","0","1 (1.4%)","1 (0.8%)","0","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","VALUE",2,2,15,0
"RASH MACULO-PAPULAR","1 (1.9%)","0","1 (0.8%)","0","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","VALUE",2,2,16,0
"Urticaria","1 (1.9%)","1 (1.4%)","2 (1.6%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","VALUE",2,1,17,0
"URTICARIA","1 (1.9%)","1 (1.4%)","2 (1.6%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","VALUE",2,2,18,0
"APPLICATION SITE URTICARIA","0","1 (1.4%)","1 (0.8%)","0","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","VALUE",2,2,19,0
"General disorders and administration site conditions","12 (22.6%)","16 (21.9%)","28 (22.2%)","7 (11.9%)","10.8 (-3.2, 24.7)","10.1 (-2.5, 22.6)","VALUE",3,0,19,1
"Local Administration Reaction","5 (9.4%)","5 (6.8%)","10 (7.9%)","4 (6.8%)","2.7 (-7.5, 12.8)","0.1 (-8.6, 8.7)","VALUE",3,1,20,0
"APPLICATION SITE DERMATITIS","3 (5.7%)","4 (5.5%)","7 (5.6%)","4 (6.8%)","-1.1 (-10.1, 7.8)","-1.3 (-9.6, 7.0)","VALUE",3,2,21,0
"APPLICATION SITE PAIN","1 (1.9%)","0","1 (0.8%)","0","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","VALUE",3,2,22,0
"APPLICATION SITE REACTION","1 (1.9%)","0","1 (0.8%)","1 (1.7%)","0.2 (-4.7, 5.1)","-1.7 (-5.0, 1.6)","VALUE",3,2,23,0
"APPLICATION SITE URTICARIA","0","1 (1.4%)","1 (0.8%)","0","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","VALUE",3,2,24,0
"Dizziness","4 (7.5%)","4 (5.5%)","8 (6.3%)","0","7.5 (0.4, 14.7)","5.5 (0.3, 10.7)","VALUE",3,1,25,0
"DIZZINESS","4 (7.5%)","3 (4.1%)","7 (5.6%)","0","7.5 (0.4, 14.7)","4.1 (-0.4, 8.7)","VALUE",3,2,26,0
"VERTIGO","0","1 (1.4%)","1 (0.8%)","0","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","VALUE",3,2,27,0
"Fatigue","4 (7.5%)","3 (4.1%)","7 (5.6%)","1 (1.7%)","5.9 (-2.0, 13.7)","2.4 (-3.2, 8.0)","VALUE",3,1,28,0
"FATIGUE","3 (5.7%)","2 (2.7%)","5 (4.0%)","0","5.7 (-0.6, 11.9)","2.7 (-1.0, 6.5)","VALUE",3,2,29,0
