"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows"
"Analysis set: Safety","53","53","49","38","30","14","VALUE",2,0,0,0
"Subjects with ≥ 1 AE","51 (96.2%)","4 (7.5%)","11 (22.4%)","7 (18.4%)","15 (50.0%)","14 (100.0%)","VALUE",3,0,0,1
"Skin and subcutaneous tissue disorders","34 (64.2%)","4 (7.5%)","5 (10.2%)","6 (15.8%)","10 (33.3%)","9 (64.3%)","VALUE",4,0,0,1
"PRURITUS","20 (37.7%)","1 (1.9%)","2 (4.1%)","6 (15.8%)","5 (16.7%)","6 (42.9%)","VALUE",4,1,1,0
"ERYTHEMA","12 (22.6%)","1 (1.9%)","2 (4.1%)","4 (10.5%)","3 (10.0%)","2 (14.3%)","VALUE",4,1,2,0
"HYPERHIDROSIS","8 (15.1%)","1 (1.9%)","1 (2.0%)","0","3 (10.0%)","3 (21.4%)","VALUE",4,1,3,0
"RASH","5 (9.4%)","1 (1.9%)","0","1 (2.6%)","2 (6.7%)","1 (7.1%)","VALUE",4,1,4,0
"SKIN IRRITATION","4 (7.5%)","1 (1.9%)","1 (2.0%)","0","1 (3.3%)","1 (7.1%)","VALUE",4,1,5,0
"RASH PRURITIC","2 (3.8%)","1 (1.9%)","0","0","0","1 (7.1%)","VALUE",4,1,6,0
"BLISTER","1 (1.9%)","0","0","0","1 (3.3%)","0","VALUE",4,1,7,0
"PRURITUS GENERALISED","1 (1.9%)","0","0","0","0","1 (7.1%)","VALUE",4,1,8,0
"SKIN ODOUR ABNORMAL","1 (1.9%)","0","0","0","0","1 (7.1%)","VALUE",4,1,9,0
"RASH ERYTHEMATOUS","0","0","0","0","0","0","VALUE",4,1,10,0
"General disorders and administration site conditions","26 (49.1%)","1 (1.9%)","7 (14.3%)","2 (5.3%)","8 (26.7%)","8 (57.1%)","VALUE",5,0,10,1
"APPLICATION SITE PRURITUS","13 (24.5%)","1 (1.9%)","5 (10.2%)","1 (2.6%)","3 (10.0%)","3 (21.4%)","VALUE",5,1,11,0
"APPLICATION SITE ERYTHEMA","10 (18.9%)","0","4 (8.2%)","2 (5.3%)","1 (3.3%)","3 (21.4%)","VALUE",5,1,12,0
"APPLICATION SITE IRRITATION","8 (15.1%)","0","2 (4.1%)","0","1 (3.3%)","5 (35.7%)","VALUE",5,1,13,0
"FATIGUE","5 (9.4%)","0","0","0","2 (6.7%)","3 (21.4%)","VALUE",5,1,14,0
"APPLICATION SITE DERMATITIS","4 (7.5%)","1 (1.9%)","1 (2.0%)","0","2 (6.7%)","0","VALUE",5,1,15,0
"APPLICATION SITE VESICLES","4 (7.5%)","0","1 (2.0%)","0","1 (3.3%)","2 (14.3%)","VALUE",5,1,16,0
"APPLICATION SITE PAIN","2 (3.8%)","0","0","0","0","2 (14.3%)","VALUE",5,1,17,0
"APPLICATION SITE PERSPIRATION","2 (3.8%)","0","1 (2.0%)","0","0","1 (7.1%)","VALUE",5,1,18,0
"CHEST PAIN","2 (3.8%)","0","0","0","1 (3.3%)","1 (7.1%)","VALUE",5,1,19,0
"MALAISE","2 (3.8%)","0","0","0","1 (3.3%)","1 (7.1%)","VALUE",5,1,20,0
"APPLICATION SITE REACTION","1 (1.9%)","0","0","0","0","1 (7.1%)","VALUE",5,1,21,0
"CHEST DISCOMFORT","1 (1.9%)","0","0","0","0","1 (7.1%)","VALUE",5,1,22,0
"FEELING ABNORMAL","1 (1.9%)","0","0","0","0","1 (7.1%)","VALUE",5,1,23,0
"OEDEMA PERIPHERAL","1 (1.9%)","0","1 (2.0%)","0","0","0","VALUE",5,1,24,0
"PAIN","1 (1.9%)","0","0","0","0","1 (7.1%)","VALUE",5,1,25,0
"ASTHENIA","0","0","0","0","0","0","VALUE",5,1,26,0
"Nervous system disorders","18 (34.0%)","0","4 (8.2%)","2 (5.3%)","8 (26.7%)","4 (28.6%)","VALUE",6,0,26,1
"DIZZINESS","8 (15.1%)","0","2 (4.1%)","1 (2.6%)","4 (13.3%)","1 (7.1%)","VALUE",6,1,27,0
"HEADACHE","5 (9.4%)","0","1 (2.0%)","1 (2.6%)","1 (3.3%)","2 (14.3%)","VALUE",6,1,28,0
"COGNITIVE DISORDER","1 (1.9%)","0","0","0","0","1 (7.1%)","VALUE",6,1,29,0
