"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows"
"Age: ≥18 to <65 years","5","","","VALUE",2,0,0,0
""," "," "," ","VALUE",2,0,1,0
"Systolic blood pressure (mmHg)","","","","HEADER",2,1,2,0
"Screening","5/5 (100.0%)","134.20000 (119.12402, 149.27598)","","VALUE",2,2,3,0
"Cycle 02","5/5 (100.0%)","135.13333 (121.48883, 148.77783)","0.93333 (-15.30722, 17.17389)","VALUE",2,2,4,0
"Cycle 03","5/5 (100.0%)","143.66667 (130.18509, 157.14824)","9.46667 (-5.73097, 24.66430)","VALUE",2,2,5,0
"Cycle 04","3/3 (100.0%)","126.77778 (80.73118, 172.82438)","-2.55556 (-30.19708, 25.08597)","VALUE",2,2,6,0
"Diastolic blood pressure (mmHg)","","","","HEADER",3,1,6,1
"Screening","5/5 (100.0%)","84.26667 (72.01181, 96.52153)","","VALUE",3,2,7,0
"Cycle 02","5/5 (100.0%)","86.66667 (75.87379, 97.45955)","2.40000 (-4.25704, 9.05704)","VALUE",3,2,8,0
"Cycle 03","5/5 (100.0%)","78.86667 (69.47588, 88.25746)","-5.40000 (-16.28927, 5.48927)","VALUE",3,2,9,0
"Cycle 04","3/3 (100.0%)","73.11111 (51.49716, 94.72507)","-4.33333 (-15.53493, 6.86826)","VALUE",3,2,10,0
"Age: ≥65 to <75 years","17","","","VALUE",4,0,10,1
""," "," "," ","VALUE",4,0,11,0
"Systolic blood pressure (mmHg)","","","","HEADER",4,1,12,0
"Screening","17/17 (100.0%)","131.41176 (122.61808, 140.20545)","","VALUE",4,2,13,0
"Cycle 02","17/17 (100.0%)","132.54902 (123.93730, 141.16074)","1.13725 (-3.59953, 5.87404)","VALUE",4,2,14,0
"Cycle 03","10/10 (100.0%)","132.40000 (123.24324, 141.55676)","3.90000 (-1.69903, 9.49903)","VALUE",4,2,15,0
"Cycle 04","9/9 (100.0%)","135.70370 (128.27055, 143.13686)","6.74074 (1.81423, 11.66725)","VALUE",4,2,16,0
"Diastolic blood pressure (mmHg)","","","","HEADER",5,1,16,1
"Screening","17/17 (100.0%)","74.13725 (70.12248, 78.15203)","","VALUE",5,2,17,0
"Cycle 02","17/17 (100.0%)","78.31373 (72.85982, 83.76763)","4.17647 (0.53878, 7.81416)","VALUE",5,2,18,0
"Cycle 03","10/10 (100.0%)","78.76667 (71.30019, 86.23314)","4.03333 (-1.01306, 9.07973)","VALUE",5,2,19,0
"Cycle 04","9/9 (100.0%)","78.85185 (74.76610, 82.93760)","3.96296 (-0.00734, 7.93327)","VALUE",5,2,20,0
"Age: ≥75 years","51","","","VALUE",6,0,20,1
""," "," "," ","VALUE",6,0,21,0
"Systolic blood pressure (mmHg)","","","","HEADER",6,1,22,0
"Screening","51/51 (100.0%)","141.62092 (136.44665, 146.79518)","","VALUE",6,2,23,0
"Cycle 02","49/49 (100.0%)","136.29932 (131.13591, 141.46273)","-4.97959 (-9.07262, -0.88656)","VALUE",6,2,24,0
"Cycle 03","38/38 (100.0%)","138.23684 (131.80445, 144.66924)","-2.45614 (-7.80728, 2.89499)","VALUE",6,2,25,0
"Cycle 04","35/35 (100.0%)","136.58095 (129.40991, 143.75199)","-2.42857 (-6.65424, 1.79710)","VALUE",6,2,26,0
"Diastolic blood pressure (mmHg)","","","","HEADER",7,1,26,1
"Screening","51/51 (100.0%)","76.70588 (74.11246, 79.29930)","","VALUE",7,2,27,0
"Cycle 02","49/49 (100.0%)","75.17007 (72.50558, 77.83456)","-1.37415 (-3.38731, 0.63901)","VALUE",7,2,28,0
"Cycle 03","38/38 (100.0%)","76.08772 (73.07524, 79.10020)","-0.05263 (-2.60383, 2.49856)","VALUE",7,2,29,0
"Cycle 04","35/35 (100.0%)","74.41905 (71.11597, 77.72212)","-1.34286 (-3.41130, 0.72559)","VALUE",7,2,30,0
