"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows"
"Systolic blood pressure (mmHg)","","","","HEADER",2,0,0,0
"Screening","53/53 (100.0%)","138.2390 (133.5179, 142.9601)","","VALUE",2,1,1,0
"Cycle 02","53/53 (100.0%)","131.7170 (127.5681, 135.8659)","-6.5220 (-10.7477, -2.2963)","VALUE",2,1,2,0
"Cycle 03","53/53 (100.0%)","130.7421 (126.5700, 134.9143)","-7.4969 (-11.4782, -3.5155)","VALUE",2,1,3,0
"Cycle 04","51/51 (100.0%)","129.9477 (125.8664, 134.0290)","-8.9869 (-13.2844, -4.6895)","VALUE",2,1,4,0
"Diastolic blood pressure (mmHg)","","","","HEADER",3,0,4,1
"Screening","53/53 (100.0%)","79.3333 (76.6476, 82.0190)","","VALUE",3,1,5,0
"Cycle 02","53/53 (100.0%)","77.1069 (74.5509, 79.6630)","-2.2264 (-4.9097, 0.4569)","VALUE",3,1,6,0
"Cycle 03","53/53 (100.0%)","76.0252 (73.5603, 78.4900)","-3.3082 (-6.1264, -0.4899)","VALUE",3,1,7,0
"Cycle 04","51/51 (100.0%)","75.3137 (72.6005, 78.0269)","-4.2614 (-6.7224, -1.8005)","VALUE",3,1,8,0
