"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows"
"Systolic blood pressure (mmHg)","","","","HEADER",2,0,0,0
"Screening","59/59 (100.0%)","135.7627 (131.0746, 140.4508)","","VALUE",2,1,1,0
"Cycle 02","58/58 (100.0%)","131.3966 (126.7814, 136.0117)","-4.2241 (-7.5565, -0.8917)","VALUE",2,1,2,0
"Cycle 03","56/56 (100.0%)","131.3512 (126.5164, 136.1860)","-4.0476 (-7.6489, -0.4464)","VALUE",2,1,3,0
"Cycle 04","51/51 (100.0%)","131.6340 (126.4963, 136.7717)","-2.5686 (-6.1802, 1.0430)","VALUE",2,1,4,0
"Diastolic blood pressure (mmHg)","","","","HEADER",3,0,4,1
"Screening","59/59 (100.0%)","76.2599 (73.5325, 78.9872)","","VALUE",3,1,5,0
"Cycle 02","58/58 (100.0%)","73.7816 (71.1451, 76.4181)","-2.4828 (-4.9920, 0.0264)","VALUE",3,1,6,0
"Cycle 03","56/56 (100.0%)","74.2976 (71.2455, 77.3498)","-1.7619 (-4.2062, 0.6823)","VALUE",3,1,7,0
"Cycle 04","51/51 (100.0%)","74.3399 (71.4934, 77.1864)","-2.1176 (-4.3514, 0.1161)","VALUE",3,1,8,0
