"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows"
"Age: ≥18 to <65 years","7","","","VALUE",2,0,0,0
""," "," "," ","VALUE",2,0,1,0
"Systolic blood pressure (mmHg)","","","","HEADER",2,1,2,0
"Screening","7/7 (100.0%)","133.42857 (118.20191, 148.65524)","","VALUE",2,2,3,0
"Cycle 02","7/7 (100.0%)","133.71429 (117.62009, 149.80848)","0.28571 (-8.77489, 9.34632)","VALUE",2,2,4,0
"Cycle 03","7/7 (100.0%)","133.38095 (116.27531, 150.48660)","-0.04762 (-3.26336, 3.16813)","VALUE",2,2,5,0
"Cycle 04","5/5 (100.0%)","129.20000 (120.67451, 137.72549)","-0.73333 (-20.91308, 19.44641)","VALUE",2,2,6,0
"Diastolic blood pressure (mmHg)","","","","HEADER",3,1,6,1
"Screening","7/7 (100.0%)","76.57143 (64.96169, 88.18117)","","VALUE",3,2,7,0
"Cycle 02","7/7 (100.0%)","76.80952 (66.10387, 87.51518)","0.23810 (-7.24309, 7.71928)","VALUE",3,2,8,0
"Cycle 03","7/7 (100.0%)","75.61905 (59.61763, 91.62046)","-0.95238 (-7.54373, 5.63896)","VALUE",3,2,9,0
"Cycle 04","5/5 (100.0%)","74.26667 (53.96842, 94.56491)","-2.06667 (-15.88830, 11.75496)","VALUE",3,2,10,0
"Age: ≥65 to <75 years","19","","","VALUE",4,0,10,1
""," "," "," ","VALUE",4,0,11,0
"Systolic blood pressure (mmHg)","","","","HEADER",4,1,12,0
"Screening","19/19 (100.0%)","130.73684 (120.77229, 140.70139)","","VALUE",4,2,13,0
"Cycle 02","19/19 (100.0%)","125.15789 (116.80566, 133.51013)","-5.57895 (-12.62079, 1.46289)","VALUE",4,2,14,0
"Cycle 03","19/19 (100.0%)","126.66667 (118.88144, 134.45189)","-4.07018 (-10.31295, 2.17260)","VALUE",4,2,15,0
"Cycle 04","19/19 (100.0%)","132.82456 (121.70851, 143.94061)","2.08772 (-2.28040, 6.45584)","VALUE",4,2,16,0
"Diastolic blood pressure (mmHg)","","","","HEADER",5,1,16,1
"Screening","19/19 (100.0%)","77.33333 (71.84962, 82.81705)","","VALUE",5,2,17,0
"Cycle 02","19/19 (100.0%)","74.05263 (70.58225, 77.52301)","-3.28070 (-8.25552, 1.69412)","VALUE",5,2,18,0
"Cycle 03","19/19 (100.0%)","73.85965 (69.69989, 78.01941)","-3.47368 (-8.62748, 1.68011)","VALUE",5,2,19,0
"Cycle 04","19/19 (100.0%)","75.70175 (71.23526, 80.16825)","-1.63158 (-4.93802, 1.67486)","VALUE",5,2,20,0
"Age: ≥75 years","33","","","VALUE",6,0,20,1
""," "," "," ","VALUE",6,0,21,0
"Systolic blood pressure (mmHg)","","","","HEADER",6,1,22,0
"Screening","33/33 (100.0%)","139.15152 (133.35446, 144.94857)","","VALUE",6,2,23,0
"Cycle 02","32/32 (100.0%)","134.59375 (128.37103, 140.81647)","-4.40625 (-8.77864, -0.03386)","VALUE",6,2,24,0
"Cycle 03","30/30 (100.0%)","133.84444 (126.72385, 140.96503)","-4.96667 (-10.64927, 0.71594)","VALUE",6,2,25,0
"Cycle 04","27/27 (100.0%)","131.24691 (124.82089, 137.67294)","-6.18519 (-11.63114, -0.73923)","VALUE",6,2,26,0
"Diastolic blood pressure (mmHg)","","","","HEADER",7,1,26,1
"Screening","33/33 (100.0%)","75.57576 (72.12017, 79.03135)","","VALUE",7,2,27,0
"Cycle 02","32/32 (100.0%)","72.95833 (68.91098, 77.00568)","-2.60417 (-6.04063, 0.83230)","VALUE",7,2,28,0
"Cycle 03","30/30 (100.0%)","74.26667 (69.88594, 78.64739)","-0.86667 (-4.07027, 2.33693)","VALUE",7,2,29,0
"Cycle 04","27/27 (100.0%)","73.39506 (69.55708, 77.23304)","-2.46914 (-5.76351, 0.82524)","VALUE",7,2,30,0
