"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Sex, n (%)","","","","","HEADER",2,0,0,0
"N","84","84","86","254","N",2,1,1,0
"Male","44 (52.4%)","34 (40.5%)","33 (38.4%)","111 (43.7%)","VALUE",2,2,2,0
"Female","40 (47.6%)","50 (59.5%)","53 (61.6%)","143 (56.3%)","VALUE",2,2,3,0
"Intersex","0","0","0","0","VALUE",2,2,4,0
"Unknown","0","0","0","0","VALUE",2,2,5,0
"Age","","","","","HEADER",3,0,5,1
"N","84","84","86","254","N",3,1,6,0
"Mean (SD)","74.4 (7.89)","75.7 (8.29)","75.2 (8.59)","75.1 (8.25)","VALUE",3,2,7,0
"Median","76.0","77.5","76.0","77.0","VALUE",3,2,8,0
"Min, max","56, 88","51, 88","52, 89","51, 89","VALUE",3,2,9,0
"≥18 to <65, n (%)","11 (13.1%)","8 (9.5%)","14 (16.3%)","33 (13.0%)","VALUE",3,2,10,0
"≥65, n (%)","73 (86.9%)","76 (90.5%)","72 (83.7%)","221 (87.0%)","VALUE",3,2,11,0
"≥65 to <75, n (%)","25 (29.8%)","23 (27.4%)","24 (27.9%)","72 (28.3%)","VALUE",3,2,12,0
"≥75, n (%)","48 (57.1%)","53 (63.1%)","48 (55.8%)","149 (58.7%)","VALUE",3,2,13,0
"Race, n (%)","","","","","HEADER",4,0,13,1
"N","84","84","86","254","N",4,1,14,0
"American Indian or Alaska Native","7 (8.3%)","13 (15.5%)","6 (7.0%)","26 (10.2%)","VALUE",4,2,15,0
"Asian","11 (13.1%)","11 (13.1%)","7 (8.1%)","29 (11.4%)","VALUE",4,2,16,0
"Black or African American","7 (8.3%)","10 (11.9%)","10 (11.6%)","27 (10.6%)","VALUE",4,2,17,0
"Native Hawaiian or other Pacific Islander","10 (11.9%)","7 (8.3%)","8 (9.3%)","25 (9.8%)","VALUE",4,2,18,0
"White","11 (13.1%)","10 (11.9%)","9 (10.5%)","30 (11.8%)","VALUE",4,2,19,0
"Multiple","12 (14.3%)","9 (10.7%)","8 (9.3%)","29 (11.4%)","VALUE",4,2,20,0
"Not reported","11 (13.1%)","7 (8.3%)","11 (12.8%)","29 (11.4%)","VALUE",4,2,21,0
"Unknown","10 (11.9%)","6 (7.1%)","11 (12.8%)","27 (10.6%)","VALUE",4,2,22,0
"Other","5 (6.0%)","11 (13.1%)","16 (18.6%)","32 (12.6%)","VALUE",4,2,23,0
"Ethnicity, n (%)","","","","","HEADER",5,0,23,1
"N","84","84","86","254","N",5,1,24,0
"Hispanic or Latino","20 (23.8%)","19 (22.6%)","18 (20.9%)","57 (22.4%)","VALUE",5,2,25,0
"Not Hispanic or Latino","26 (31.0%)","18 (21.4%)","19 (22.1%)","63 (24.8%)","VALUE",5,2,26,0
"Not reported","15 (17.9%)","27 (32.1%)","23 (26.7%)","65 (25.6%)","VALUE",5,2,27,0
"Unknown","23 (27.4%)","20 (23.8%)","26 (30.2%)","69 (27.2%)","VALUE",5,2,28,0
"Weight (kg)","","","","","HEADER",6,0,28,1
"N","84","84","86","254","N",6,1,29,0
"Mean (SD)","73.00 (44.004)","75.88 (43.448)","76.66 (42.980)","75.19 (43.332)","VALUE",6,2,30,0
"Median","75.50","73.00","74.00","74.50","VALUE",6,2,31,0
"Min, max","3.0, 149.0","1.0, 147.0","1.0, 150.0","1.0, 150.0","VALUE",6,2,32,0
"<30, n (%)","22 (26.2%)","17 (20.2%)","13 (15.1%)","52 (20.5%)","VALUE",6,2,33,0
"≥30 to <60, n (%)","10 (11.9%)","14 (16.7%)","20 (23.3%)","44 (17.3%)","VALUE",6,2,34,0
"≥60 to <90, n (%)","17 (20.2%)","18 (21.4%)","20 (23.3%)","55 (21.7%)","VALUE",6,2,35,0
"≥90, n (%)","35 (41.7%)","35 (41.7%)","33 (38.4%)","103 (40.6%)","VALUE",6,2,36,0
"Height (cm)","","","","","HEADER",7,0,36,1
"N","84","84","86","254","N",7,1,37,0
"Mean (SD)","65.19 (42.011)","86.35 (47.899)","67.51 (43.173)","72.97 (45.249)","VALUE",7,2,38,0
"Median","62.50","96.00","68.00","70.50","VALUE",7,2,39,0
"Min, max","1.0, 143.0","1.0, 150.0","0.0, 150.0","0.0, 150.0","VALUE",7,2,40,0
"Body mass index (kg/m2)","","","","","HEADER",8,0,40,1
"N","84","84","86","254","N",8,1,41,0
"Mean (SD)","79.63 (45.793)","78.55 (46.331)","70.19 (42.088)","76.07 (44.781)","VALUE",8,2,42,0
"Median","78.00","84.00","63.50","75.50","VALUE",8,2,43,0
"Min, max","1.0, 150.0","4.0, 150.0","2.0, 148.0","1.0, 150.0","VALUE",8,2,44,0
"Underweight <18.5, n (%)","11 (13.1%)","12 (14.3%)","13 (15.1%)","36 (14.2%)","VALUE",8,2,45,0
"Normal ≥18.5 to <25, n (%)","4 (4.8%)","1 (1.2%)","1 (1.2%)","6 (2.4%)","VALUE",8,2,46,0
"Overweight ≥25 to <30, n (%)","2 (2.4%)","6 (7.1%)","2 (2.3%)","10 (3.9%)","VALUE",8,2,47,0
"Obese ≥30, n (%)","67 (79.8%)","65 (77.4%)","70 (81.4%)","202 (79.5%)","VALUE",8,2,48,0
"Body surface area (m2)","","","","","HEADER",9,0,48,1
"N","84","84","86","254","N",9,1,49,0
"Mean (SD)","70.15 (38.549)","80.58 (38.458)","80.12 (47.211)","76.98 (41.769)","VALUE",9,2,50,0
"Median","69.50","87.50","79.50","76.00","VALUE",9,2,51,0
"Min, max","6.0, 150.0","3.0, 146.0","2.0, 150.0","2.0, 150.0","VALUE",9,2,52,0
"Geographic Region 1, n (%)","","","","","HEADER",10,0,52,1
"N","84","84","86","254","N",10,1,53,0
"NA","84 (100.0%)","84 (100.0%)","86 (100.0%)","254 (100.0%)","VALUE",10,2,54,0
"Country/Territory, n (%)","","","","","HEADER",11,0,54,1
"N","84","84","86","254","N",11,1,55,0
"United States of America","84 (100.0%)","84 (100.0%)","86 (100.0%)","254 (100.0%)","VALUE",11,2,56,0
