"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows"
"ECG Mean Heart Rate (beats/min)","","","","HEADER",2,0,0,0
"On-treatment","","","","HEADER",2,1,1,0
"N","53","71","58","N",2,2,2,0
">100","53 (100.0%)","67 (100.0%)","57 (100.0%)","VALUE",2,3,3,0
"<50","25 (100.0%)","22 (100.0%)","24 (100.0%)","VALUE",2,3,4,0
"Month 1","","","","HEADER",3,1,4,1
"N","53","71","58","N",3,2,5,0
">100","36 (100.0%)","57 (100.0%)","45 (100.0%)","VALUE",3,3,6,0
"<50","11 (100.0%)","6 (100.0%)","8 (100.0%)","VALUE",3,3,7,0
"Month 3","","","","HEADER",4,1,7,1
"N","53","53","56","N",4,2,8,0
">100","42 (100.0%)","43 (100.0%)","45 (100.0%)","VALUE",4,3,9,0
"<50","7 (100.0%)","7 (100.0%)","3 (100.0%)","VALUE",4,3,10,0
"PR Interval, Aggregate (msec)","","","","HEADER",5,0,10,1
"On-treatment","","","","HEADER",5,1,11,0
"N","53","71","58","N",5,2,12,0
">200","53 (100.0%)","67 (100.0%)","54 (100.0%)","VALUE",5,3,13,0
"<120","34 (100.0%)","43 (100.0%)","47 (100.0%)","VALUE",5,3,14,0
"Month 1","","","","HEADER",6,1,14,1
"N","53","71","58","N",6,2,15,0
">200","39 (100.0%)","46 (100.0%)","35 (100.0%)","VALUE",6,3,16,0
"<120","6 (100.0%)","17 (100.0%)","13 (100.0%)","VALUE",6,3,17,0
"Month 3","","","","HEADER",7,1,17,1
"N","53","53","56","N",7,2,18,0
">200","34 (100.0%)","33 (100.0%)","33 (100.0%)","VALUE",7,3,19,0
"<120","9 (100.0%)","10 (100.0%)","14 (100.0%)","VALUE",7,3,20,0
