"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows"
"Age: ≥18 to <65 years","14","","","","","VALUE",2,0,0,0
""," "," "," "," "," ","VALUE",2,0,1,0
"ECG Mean Heart Rate (beats/min)","","","","","","HEADER",2,0,2,0
"Baseline","14/14 (100.0%)","287.6 (221.1, 354.1)","","","","VALUE",2,1,3,0
"Month 1","14/14 (100.0%)","306.7 (201.5, 412.0)","19.1 (-94.9, 133.2)","-38.9 (-208.2, 130.4)","-160.9 (-402.0, 80.2)","VALUE",2,1,4,0
"Month 3","14/14 (100.0%)","281.4 (198.0, 364.8)","-6.1 (-86.1, 73.9)","-119.9 (-313.3, 73.4)","-93.4 (-327.9, 141.2)","VALUE",2,1,5,0
"PR Interval, Aggregate (msec)","","","","","","HEADER",3,0,5,1
"Baseline","14/14 (100.0%)","334.9 (235.8, 434.0)","","","","VALUE",3,1,6,0
"Month 1","14/14 (100.0%)","284.0 (163.6, 404.4)","-50.9 (-170.7, 69.0)","133.2 (-82.9, 349.3)","125.2 (-139.2, 389.7)","VALUE",3,1,7,0
"Month 3","14/14 (100.0%)","276.0 (174.7, 377.3)","-58.9 (-160.3, 42.6)","118.9 (-48.5, 286.2)","60.4 (-222.5, 343.3)","VALUE",3,1,8,0
"Age: ≥65 to <75 years","24","","","","","VALUE",4,0,8,1
""," "," "," "," "," ","VALUE",4,0,9,0
"ECG Mean Heart Rate (beats/min)","","","","","","HEADER",4,0,10,0
"Baseline","24/24 (100.0%)","204.7 (138.6, 270.8)","","","","VALUE",4,1,11,0
"Month 1","23/23 (100.0%)","231.7 (159.7, 303.7)","31.3 (-58.4, 121.1)","-82.7 (-224.4, 59.0)","-10.0 (-143.8, 123.7)","VALUE",4,1,12,0
"Month 3","23/23 (100.0%)","254.0 (175.4, 332.7)","53.7 (-40.7, 148.0)","12.3 (-132.9, 157.6)","-114.1 (-272.1, 43.8)","VALUE",4,1,13,0
"PR Interval, Aggregate (msec)","","","","","","HEADER",5,0,13,1
"Baseline","24/24 (100.0%)","277.1 (205.7, 348.6)","","","","VALUE",5,1,14,0
"Month 1","23/23 (100.0%)","307.4 (233.9, 380.9)","21.1 (-60.1, 102.4)","25.0 (-118.1, 168.0)","-84.7 (-202.2, 32.8)","VALUE",5,1,15,0
"Month 3","23/23 (100.0%)","302.9 (234.7, 371.1)","16.6 (-79.3, 112.5)","40.7 (-92.0, 173.4)","-39.5 (-174.5, 95.5)","VALUE",5,1,16,0
"Age: ≥75 years","48","","","","","VALUE",6,0,16,1
""," "," "," "," "," ","VALUE",6,0,17,0
"ECG Mean Heart Rate (beats/min)","","","","","","HEADER",6,0,18,0
"Baseline","48/48 (100.0%)","276.4 (226.5, 326.3)","","","","VALUE",6,1,19,0
"Month 1","47/47 (100.0%)","316.9 (264.7, 369.0)","39.7 (-34.5, 114.0)","-129.2 (-228.8, -29.7)","-77.9 (-175.2, 19.4)","VALUE",6,1,20,0
"Month 3","45/45 (100.0%)","299.7 (246.7, 352.7)","19.3 (-56.8, 95.4)","-44.6 (-156.8, 67.7)","24.5 (-80.7, 129.7)","VALUE",6,1,21,0
"PR Interval, Aggregate (msec)","","","","","","HEADER",7,0,21,1
"Baseline","48/48 (100.0%)","296.4 (243.5, 349.3)","","","","VALUE",7,1,22,0
"Month 1","47/47 (100.0%)","252.8 (207.9, 297.6)","-37.6 (-117.6, 42.3)","13.8 (-96.6, 124.1)","16.2 (-86.7, 119.1)","VALUE",7,1,23,0
"Month 3","45/45 (100.0%)","210.2 (161.6, 258.9)","-80.6 (-148.5, -12.7)","66.9 (-39.2, 173.0)","32.7 (-67.8, 133.3)","VALUE",7,1,24,0
