"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows"
"QT Interval, Corrected (msec)","","","","HEADER",2,0,0,0
"Baseline","","","","HEADER",2,1,1,0
"N","53","73","59","N",2,2,2,0
"≤450","42 (79.2%)","54 (74.0%)","42 (71.2%)","VALUE",2,3,3,0
">450 to ≤480 ","5 (9.4%)","10 (13.7%)","8 (13.6%)","VALUE",2,3,4,0
">480 to ≤500","3 (5.7%)","3 (4.1%)","3 (5.1%)","VALUE",2,3,5,0
">500","3 (5.7%)","6 (8.2%)","6 (10.2%)","VALUE",2,3,6,0
"Month 1","","","","HEADER",3,1,6,1
"N","53","71","58","N",3,2,7,0
"≤450","43 (81.1%)","50 (70.4%)","42 (72.4%)","VALUE",3,3,8,0
">450 to ≤480 ","5 (9.4%)","2 (2.8%)","8 (13.8%)","VALUE",3,3,9,0
">480 to ≤500","1 (1.9%)","7 (9.9%)","3 (5.2%)","VALUE",3,3,10,0
">500","4 (7.5%)","12 (16.9%)","5 (8.6%)","VALUE",3,3,11,0
"Month 3","","","","HEADER",4,1,11,1
"N","53","53","56","N",4,2,12,0
"≤450","40 (75.5%)","37 (69.8%)","46 (82.1%)","VALUE",4,3,13,0
">450 to ≤480 ","4 (7.5%)","6 (11.3%)","5 (8.9%)","VALUE",4,3,14,0
">480 to ≤500","2 (3.8%)","3 (5.7%)","3 (5.4%)","VALUE",4,3,15,0
">500","7 (13.2%)","7 (13.2%)","2 (3.6%)","VALUE",4,3,16,0
"Month 6","","","","HEADER",5,1,16,1
"N","51","47","51","N",5,2,17,0
"≤450","36 (70.6%)","35 (74.5%)","43 (84.3%)","VALUE",5,3,18,0
">450 to ≤480 ","9 (17.6%)","3 (6.4%)","2 (3.9%)","VALUE",5,3,19,0
">480 to ≤500","3 (5.9%)","3 (6.4%)","1 (2.0%)","VALUE",5,3,20,0
">500","3 (5.9%)","6 (12.8%)","5 (9.8%)","VALUE",5,3,21,0
"Month 9","","","","HEADER",6,1,21,1
"N","41","42","51","N",6,2,22,0
"≤450","31 (75.6%)","32 (76.2%)","41 (80.4%)","VALUE",6,3,23,0
">450 to ≤480 ","4 (9.8%)","4 (9.5%)","4 (7.8%)","VALUE",6,3,24,0
">480 to ≤500","1 (2.4%)","2 (4.8%)","3 (5.9%)","VALUE",6,3,25,0
">500","5 (12.2%)","4 (9.5%)","3 (5.9%)","VALUE",6,3,26,0
"Month 12","","","","HEADER",7,1,26,1
"N","37","35","48","N",7,2,27,0
"≤450","25 (67.6%)","26 (74.3%)","35 (72.9%)","VALUE",7,3,28,0
">450 to ≤480 ","4 (10.8%)","4 (11.4%)","5 (10.4%)","VALUE",7,3,29,0
">480 to ≤500","2 (5.4%)","1 (2.9%)","4 (8.3%)","VALUE",7,3,30,0
">500","6 (16.2%)","4 (11.4%)","4 (8.3%)","VALUE",7,3,31,0
"QTcB Interval, Aggregate (msec)","","","","HEADER",8,0,31,1
"Baseline","","","","HEADER",8,1,32,0
"N","53","73","59","N",8,2,33,0
"≤450","37 (69.8%)","58 (79.5%)","46 (78.0%)","VALUE",8,3,34,0
">450 to ≤480 ","4 (7.5%)","8 (11.0%)","4 (6.8%)","VALUE",8,3,35,0
">480 to ≤500","5 (9.4%)","3 (4.1%)","4 (6.8%)","VALUE",8,3,36,0
">500","7 (13.2%)","4 (5.5%)","5 (8.5%)","VALUE",8,3,37,0
"Month 1","","","","HEADER",9,1,37,1
"N","53","71","58","N",9,2,38,0
"≤450","38 (71.7%)","60 (84.5%)","41 (70.7%)","VALUE",9,3,39,0
">450 to ≤480 ","8 (15.1%)","3 (4.2%)","10 (17.2%)","VALUE",9,3,40,0
">480 to ≤500","4 (7.5%)","5 (7.0%)","3 (5.2%)","VALUE",9,3,41,0
">500","3 (5.7%)","3 (4.2%)","4 (6.9%)","VALUE",9,3,42,0
"Month 3","","","","HEADER",10,1,42,1
"N","53","53","56","N",10,2,43,0
"≤450","41 (77.4%)","38 (71.7%)","47 (83.9%)","VALUE",10,3,44,0
">450 to ≤480 ","6 (11.3%)","4 (7.5%)","4 (7.1%)","VALUE",10,3,45,0
