"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows"
"Age: ≥18 to <65 years","8","","","VALUE",2,0,0,0
""," "," "," ","VALUE",2,0,1,0
"ECG Mean Heart Rate (beats/min)","","","","HEADER",2,0,2,0
"Baseline","8/8 (100.0%)","362.2 (261.5, 463.0)","","VALUE",2,1,3,0
"Month 1","8/8 (100.0%)","296.6 (155.9, 437.3)","-65.6 (-242.5, 111.3)","VALUE",2,1,4,0
"Month 3","8/8 (100.0%)","217.0 (58.2, 375.8)","-145.2 (-375.3, 84.8)","VALUE",2,1,5,0
"PR Interval, Aggregate (msec)","","","","HEADER",3,0,5,1
"Baseline","8/8 (100.0%)","292.1 (119.9, 464.4)","","VALUE",3,1,6,0
"Month 1","8/8 (100.0%)","325.8 (208.7, 442.8)","33.6 (-181.5, 248.7)","VALUE",3,1,7,0
"Month 3","8/8 (100.0%)","358.2 (187.7, 528.8)","66.1 (-146.9, 279.2)","VALUE",3,1,8,0
"Age: ≥65 to <75 years","16","","","VALUE",4,0,8,1
""," "," "," ","VALUE",4,0,9,0
"ECG Mean Heart Rate (beats/min)","","","","HEADER",4,0,10,0
"Baseline","16/16 (100.0%)","311.6 (212.6, 410.7)","","VALUE",4,1,11,0
"Month 1","16/16 (100.0%)","283.4 (193.8, 373.0)","-28.2 (-180.9, 124.6)","VALUE",4,1,12,0
"Month 3","16/16 (100.0%)","403.5 (317.5, 489.5)","91.9 (-39.6, 223.4)","VALUE",4,1,13,0
"PR Interval, Aggregate (msec)","","","","HEADER",5,0,13,1
"Baseline","16/16 (100.0%)","282.4 (190.0, 374.9)","","VALUE",5,1,14,0
"Month 1","16/16 (100.0%)","348.7 (265.8, 431.5)","66.2 (-68.8, 201.3)","VALUE",5,1,15,0
"Month 3","16/16 (100.0%)","354.0 (269.7, 438.3)","71.6 (-26.6, 169.8)","VALUE",5,1,16,0
"Age: ≥75 years","29","","","VALUE",6,0,16,1
""," "," "," ","VALUE",6,0,17,0
"ECG Mean Heart Rate (beats/min)","","","","HEADER",6,0,18,0
"Baseline","29/29 (100.0%)","308.6 (253.1, 364.2)","","VALUE",6,1,19,0
"Month 1","29/29 (100.0%)","205.1 (133.0, 277.2)","-103.5 (-183.8, -23.3)","VALUE",6,1,20,0
"Month 3","29/29 (100.0%)","277.5 (199.0, 356.0)","-31.1 (-134.4, 72.2)","VALUE",6,1,21,0
"PR Interval, Aggregate (msec)","","","","HEADER",7,0,21,1
"Baseline","29/29 (100.0%)","319.6 (252.2, 386.9)","","VALUE",7,1,22,0
"Month 1","29/29 (100.0%)","282.3 (217.2, 347.4)","-37.2 (-138.7, 64.2)","VALUE",7,1,23,0
"Month 3","29/29 (100.0%)","262.1 (196.4, 327.8)","-57.4 (-148.9, 34.0)","VALUE",7,1,24,0
