"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows"
"Hemoglobin (g/L)","","","","HEADER",2,0,0,0
"Baseline","66/72 (91.7%)","8.7288 (8.5336, 8.9240)","","VALUE",2,1,1,0
"Cycle 02","30/67 (44.8%)","8.5829 (8.2524, 8.9134)","-0.0869 (-0.2772, 0.1034)","VALUE",2,1,2,0
"Cycle 03","23/52 (44.2%)","8.0813 (7.7527, 8.4099)","-0.3049 (-0.5237, -0.0861)","VALUE",2,1,3,0
"Cycle 04","26/47 (55.3%)","8.3256 (7.9871, 8.6640)","-0.3986 (-0.6076, -0.1896)","VALUE",2,1,4,0
"Leukocytes (x10E9/L)","","","","HEADER",3,0,4,1
"Baseline","67/72 (93.1%)","6.599 (6.147, 7.051)","","VALUE",3,1,5,0
"Cycle 02","38/67 (56.7%)","6.772 (5.972, 7.572)","0.137 (-0.357, 0.630)","VALUE",3,1,6,0
"Cycle 03","25/52 (48.1%)","6.195 (5.454, 6.937)","-0.346 (-0.655, -0.037)","VALUE",3,1,7,0
"Cycle 04","18/47 (38.3%)","6.569 (5.387, 7.752)","0.147 (-0.421, 0.714)","VALUE",3,1,8,0
"Neutrophils (x10E9/L)","","","","HEADER",4,0,8,1
"Baseline","68/72 (94.4%)","26.7634 (23.0402, 30.4866)","","VALUE",4,1,9,0
"Cycle 02","33/67 (49.3%)","27.8405 (22.9084, 32.7727)","-0.0200 (-0.0741, 0.0341)","VALUE",4,1,10,0
"Cycle 03","18/52 (34.6%)","26.3851 (19.3677, 33.4025)","-0.0065 (-0.1150, 0.1020)","VALUE",4,1,11,0
"Cycle 04","25/47 (53.2%)","23.7483 (17.8694, 29.6273)","-0.0200 (-0.0921, 0.0521)","VALUE",4,1,12,0
"Platelets (x10E9/L)","","","","HEADER",5,0,12,1
"Baseline","68/72 (94.4%)","232.2 (217.8, 246.6)","","VALUE",5,1,13,0
"Cycle 02","37/67 (55.2%)","253.1 (227.8, 278.4)","10.6 (-10.4, 31.7)","VALUE",5,1,14,0
"Cycle 03","31/52 (59.6%)","234.5 (213.4, 255.6)","1.1 (-16.7, 18.9)","VALUE",5,1,15,0
"Cycle 04","25/47 (53.2%)","246.2 (220.3, 272.1)","8.2 (-4.1, 20.5)","VALUE",5,1,16,0
