"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows"
"Hemoglobin (g/L)","","","","","","HEADER",2,0,0,0
"Baseline","57/59 (96.6%)","8.5185 (8.3121, 8.7250)","","","","VALUE",2,1,1,0
"Cycle 02","30/58 (51.7%)","8.3450 (8.0522, 8.6378)","-0.1345 (-0.2711, 0.0022)","-0.1305 (-0.3871, 0.1261)","0.0476 (-0.1822, 0.2773)","VALUE",2,1,2,0
"Cycle 03","26/56 (46.4%)","8.5595 (8.2498, 8.8692)","-0.2482 (-0.4427, -0.0538)","0.0514 (-0.2055, 0.3082)","-0.0567 (-0.3417, 0.2283)","VALUE",2,1,3,0
"Cycle 04","24/51 (47.1%)","8.2230 (7.9259, 8.5200)","-0.3568 (-0.5381, -0.1756)","0.1831 (-0.0904, 0.4566)","-0.0418 (-0.3114, 0.2279)","VALUE",2,1,4,0
"Leukocytes (x10E9/L)","","","","","","HEADER",3,0,4,1
"Baseline","57/59 (96.6%)","6.753 (6.397, 7.109)","","","","VALUE",3,1,5,0
"Cycle 02","31/58 (53.4%)","6.399 (5.858, 6.941)","-0.161 (-0.666, 0.344)","0.106 (-0.579, 0.790)","0.298 (-0.395, 0.991)","VALUE",3,1,6,0
"Cycle 03","26/56 (46.4%)","6.788 (6.166, 7.410)","-0.070 (-0.597, 0.457)","-0.087 (-0.843, 0.669)","-0.276 (-0.875, 0.323)","VALUE",3,1,7,0
"Cycle 04","19/51 (37.3%)","7.006 (6.211, 7.802)","-0.044 (-0.709, 0.620)","0.457 (-0.545, 1.460)","0.191 (-0.653, 1.034)","VALUE",3,1,8,0
"Neutrophils (x10E9/L)","","","","","","HEADER",4,0,8,1
"Baseline","54/59 (91.5%)","27.3262 (23.6613, 30.9911)","","","","VALUE",4,1,9,0
"Cycle 02","23/58 (39.7%)","29.7087 (23.3513, 36.0662)","0.0078 (-0.0442, 0.0599)","-0.0337 (-0.1021, 0.0348)","-0.0278 (-0.1011, 0.0455)","VALUE",4,1,10,0
"Cycle 03","24/56 (42.9%)","22.6464 (16.7379, 28.5549)","-0.0026 (-0.0568, 0.0516)","-0.0300 (-0.1034, 0.0434)","-0.0039 (-0.1224, 0.1147)","VALUE",4,1,11,0
"Cycle 04","22/51 (43.1%)","25.2035 (18.5779, 31.8292)","-0.0141 (-0.0731, 0.0449)","0.0298 (-0.0455, 0.1051)","-0.0059 (-0.0966, 0.0848)","VALUE",4,1,12,0
"Platelets (x10E9/L)","","","","","","HEADER",5,0,12,1
"Baseline","57/59 (96.6%)","249.8 (234.6, 265.0)","","","","VALUE",5,1,13,0
"Cycle 02","33/58 (56.9%)","251.5 (233.5, 269.4)","-9.7 (-20.4, 1.1)","18.9 (3.0, 34.8)","20.3 (-3.1, 43.7)","VALUE",5,1,14,0
"Cycle 03","25/56 (44.6%)","256.5 (234.2, 278.9)","-8.0 (-23.3, 7.2)","23.5 (5.7, 41.3)","9.1 (-13.8, 32.1)","VALUE",5,1,15,0
"Cycle 04","23/51 (45.1%)","250.3 (226.4, 274.1)","-9.7 (-28.8, 9.4)","16.5 (-9.9, 42.9)","17.9 (-4.3, 40.1)","VALUE",5,1,16,0
