"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows"
"Xanomeline High Dose","53","","","","","VALUE",2,0,0,0
"Xanomeline Low Dose","73","","","","","VALUE",2,0,1,0
"Placebo","59","","","","","VALUE",2,0,2,0
""," "," "," "," "," ","VALUE",2,0,3,0
"Calcium (mmol/L)","","","","","","HEADER",2,0,4,0
"Cycle 02","","","","","","HEADER",2,1,5,0
"Xanomeline High Dose","52","","","","","VALUE",2,2,6,0
"Low","","1","1","0","2","VALUE",2,4,7,0
"Normal","","0","50","0","50","VALUE",2,4,8,0
"High","","0","0","0","0","VALUE",2,4,9,0
"Total","","1","51","0","52","VALUE",2,4,10,0
"Xanomeline Low Dose","67","","","","","VALUE",3,2,10,1
"Low","","1","1","0","2","VALUE",3,4,11,0
"Normal","","2","60","1","63","VALUE",3,4,12,0
"High","","0","1","1","2","VALUE",3,4,13,0
"Total","","3","62","2","67","VALUE",3,4,14,0
"Placebo","58","","","","","VALUE",4,2,14,1
"Low","","0","2","0","2","VALUE",4,4,15,0
"Normal","","1","55","0","56","VALUE",4,4,16,0
"High","","0","0","0","0","VALUE",4,4,17,0
"Total","","1","57","0","58","VALUE",4,4,18,0
"Glucose (mmol/L)","","","","","","HEADER",5,0,18,1
"Cycle 02","","","","","","HEADER",5,1,19,0
"Xanomeline High Dose","52","","","","","VALUE",5,2,20,0
"Low","","0","0","0","0","VALUE",5,4,21,0
"Normal","","0","49","0","49","VALUE",5,4,22,0
"High","","0","3","0","3","VALUE",5,4,23,0
"Total","","0","52","0","52","VALUE",5,4,24,0
"Xanomeline Low Dose","67","","","","","VALUE",6,2,24,1
"Low","","0","0","0","0","VALUE",6,4,25,0
"Normal","","0","66","0","66","VALUE",6,4,26,0
"High","","0","1","0","1","VALUE",6,4,27,0
"Total","","0","67","0","67","VALUE",6,4,28,0
"Placebo","57","","","","","VALUE",7,2,28,1
"Low","","0","0","0","0","VALUE",7,4,29,0
"Normal","","0","57","0","57","VALUE",7,4,30,0
"High","","0","0","0","0","VALUE",7,4,31,0
"Total","","0","57","0","57","VALUE",7,4,32,0
"Potassium (mmol/L)","","","","","","HEADER",8,0,32,1
"Cycle 02","","","","","","HEADER",8,1,33,0
"Xanomeline High Dose","51","","","","","VALUE",8,2,34,0
"Low","","0","0","0","0","VALUE",8,4,35,0
"Normal","","0","50","0","50","VALUE",8,4,36,0
"High","","0","1","0","1","VALUE",8,4,37,0
"Total","","0","51","0","51","VALUE",8,4,38,0
"Xanomeline Low Dose","67","","","","","VALUE",9,2,38,1
"Low","","0","1","0","1","VALUE",9,4,39,0
"Normal","","0","66","0","66","VALUE",9,4,40,0
"High","","0","0","0","0","VALUE",9,4,41,0
"Total","","0","67","0","67","VALUE",9,4,42,0
"Placebo","58","","","","","VALUE",10,2,42,1
"Low","","0","0","0","0","VALUE",10,4,43,0
"Normal","","0","57","0","57","VALUE",10,4,44,0
"High","","0","0","1","1","VALUE",10,4,45,0
"Total","","0","57","1","58","VALUE",10,4,46,0
"Sodium (mmol/L)","","","","","","HEADER",11,0,46,1
"Cycle 02","","","","","","HEADER",11,1,47,0
"Xanomeline High Dose","51","","","","","VALUE",11,2,48,0
"Low","","0","2","0","2","VALUE",11,4,49,0
"Normal","","0","48","1","49","VALUE",11,4,50,0
"High","","0","0","0","0","VALUE",11,4,51,0
"Total","","0","50","1","51","VALUE",11,4,52,0
"Xanomeline Low Dose","67","","","","","VALUE",12,2,52,1
"Low","","0","0","0","0","VALUE",12,4,53,0
"Normal","","2","63","0","65","VALUE",12,4,54,0
"High","","0","2","0","2","VALUE",12,4,55,0
"Total","","2","65","0","67","VALUE",12,4,56,0
"Placebo","58","","","","","VALUE",13,2,56,1
"Low","","1","0","0","1","VALUE",13,4,57,0
"Normal","","0","52","3","55","VALUE",13,4,58,0
"High","","0","2","0","2","VALUE",13,4,59,0
"Total","","1","54","3","58","VALUE",13,4,60,0
