"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows","newpage"
"Age: ≥18 to <65 years","8","","","VALUE",2,0,0,0,0
""," "," "," ","VALUE",2,0,1,0,0
"Calcium (mmol/L)","","","","HEADER",2,0,2,0,0
"Baseline","8/8 (100.0%)","2.2923 (2.2328, 2.3517)","","VALUE",2,1,3,0,0
"Cycle 02","3/8 (37.5%)","2.2122 (2.0832, 2.3412)","-0.0333 (-0.1764, 0.1099)","VALUE",2,1,4,0,0
"Cycle 03","3/8 (37.5%)","2.2455 (1.9753, 2.5156)","-0.1331 (-0.3836, 0.1174)","VALUE",2,1,5,0,0
"Cycle 04","2/8 (25.0%)","2.1956 (0.6099, 3.7813)","-0.1372 (-0.9298, 0.6553)","VALUE",2,1,6,0,0
"Glucose (mmol/L)","","","","HEADER",3,0,6,1,0
"Baseline","7/8 (87.5%)","4.8690 (4.3508, 5.3873)","","VALUE",3,1,7,0,0
"Cycle 02","4/8 (50.0%)","7.6742 (-1.9714, 17.3199)","1.2490 (-2.9572, 5.4552)","VALUE",3,1,8,0,0
"Cycle 03","3/8 (37.5%)","5.3475 (4.1909, 6.5040)","0.2776 (-0.5612, 1.1163)","VALUE",3,1,9,0,0
"Cycle 04","4/8 (50.0%)","5.6759 (3.7755, 7.5763)","0.6384 (-0.8632, 2.1400)","VALUE",3,1,10,0,0
"Potassium (mmol/L)","","","","HEADER",4,0,10,1,0
"Baseline","8/8 (100.0%)","4.24 (4.05, 4.43)","","VALUE",4,1,11,0,0
"Cycle 02","5/8 (62.5%)","4.12 (3.80, 4.44)","-0.14 (-0.40, 0.12)","VALUE",4,1,12,0,0
"Cycle 03","6/8 (75.0%)","4.00 (3.64, 4.36)","-0.22 (-0.43, -0.00)","VALUE",4,1,13,0,0
"Cycle 04","6/8 (75.0%)","3.90 (3.72, 4.08)","-0.32 (-0.51, -0.12)","VALUE",4,1,14,0,0
"Sodium (mmol/L)","","","","HEADER",5,0,14,1,0
"Baseline","8/8 (100.0%)","138.8 (136.3, 141.2)","","VALUE",5,1,15,0,0
"Cycle 02","3/8 (37.5%)","137.3 (123.7, 151.0)","-2.3 (-7.5, 2.8)","VALUE",5,1,16,0,0
"Cycle 03","4/8 (50.0%)","138.5 (133.7, 143.3)","-2.0 (-4.6, 0.6)","VALUE",5,1,17,0,0
"Cycle 04","4/8 (50.0%)","137.8 (134.2, 141.3)","-1.8 (-4.8, 1.3)","VALUE",5,1,18,0,0
"Age: ≥65 to <75 years","16","","","VALUE",2,0,0,0,1
""," "," "," ","VALUE",2,0,1,0,0
