"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows","newpage"
"Age: ≥18 to <65 years","7","","","","","VALUE",2,0,0,0,0
""," "," "," "," "," ","VALUE",2,0,1,0,0
"Calcium (mmol/L)","","","","","","HEADER",2,0,2,0,0
"Baseline","7/7 (100.0%)","2.3453 (2.2447, 2.4459)","","","","VALUE",2,1,3,0,0
"Cycle 02","3/7 (42.9%)","2.2788 (2.1840, 2.3735)","0.0083 (-0.1477, 0.1643)","-0.0416 (-0.1786, 0.0954)","0.0416 (-0.1622, 0.2454)","VALUE",2,1,4,0,0
"Cycle 03","2/7 (28.6%)","2.3578 (2.1996, 2.5159)","-0.0749 (-0.3919, 0.2422)","-0.0582 (-0.2771, 0.1607)","-0.0499 (NE, NE)","VALUE",2,1,5,0,0
"Cycle 04","1/5 (20.0%)","2.1956 (NE, NE)","0.0250 (NE, NE)","-0.1622 (NE, NE)","0.0083 (NE, NE)","VALUE",2,1,6,0,0
"Glucose (mmol/L)","","","","","","HEADER",3,0,6,1,0
"Baseline","7/7 (100.0%)","4.9800 (4.4337, 5.5264)","","","","VALUE",3,1,7,0,0
"Cycle 02","2/7 (28.6%)","6.0228 (-4.9096, 16.9552)","0.7216 (-14.7954, 16.2387)","0.5273 (-4.9711, 6.0258)","-1.3322 (-10.2987, 7.6342)","VALUE",3,1,8,0,0
"Cycle 03","1/7 (14.3%)","4.6628 (NE, NE)","-0.2775 (NE, NE)","0.5551 (NE, NE)","-0.6476 (NE, NE)","VALUE",3,1,9,0,0
"Cycle 04","2/5 (40.0%)","5.9118 (5.5593, 6.2644)","0.7216 (-5.6263, 7.0695)","-0.0833 (-2.3468, 2.1803)","-0.3886 (NE, NE)","VALUE",3,1,10,0,0
"Potassium (mmol/L)","","","","","","HEADER",4,0,10,1,0
"Baseline","7/7 (100.0%)","4.44 (3.86, 5.02)","","","","VALUE",4,1,11,0,0
"Cycle 02","6/7 (85.7%)","4.45 (3.89, 5.01)","0.02 (-0.42, 0.45)","-0.16 (-0.61, 0.29)","0.18 (NE, NE)","VALUE",4,1,12,0,0
"Cycle 03","6/7 (85.7%)","4.38 (3.88, 4.88)","-0.02 (-0.62, 0.59)","-0.20 (-0.81, 0.41)","NE (NE, NE)","VALUE",4,1,13,0,0
"Cycle 04","3/5 (60.0%)","4.23 (2.96, 5.51)","0.00 (-0.25, 0.25)","-0.32 (-0.54, -0.09)","-0.45 (-8.44, 7.54)","VALUE",4,1,14,0,0
"Sodium (mmol/L)","","","","","","HEADER",5,0,14,1,0
"Baseline","7/7 (100.0%)","140.4 (137.5, 143.3)","","","","VALUE",5,1,15,0,0
"Cycle 02","4/7 (57.1%)","139.8 (137.4, 142.1)","-1.2 (-6.5, 4.0)","-1.1 (-6.4, 4.2)","0.5 (-4.5, 5.5)","VALUE",5,1,16,0,0
"Cycle 03","4/7 (57.1%)","138.2 (135.0, 141.5)","-2.2 (-8.7, 4.2)","0.2 (-5.8, 6.3)","5.0 (-1.4, 11.4)","VALUE",5,1,17,0,0
"Cycle 04","4/5 (80.0%)","140.5 (135.6, 145.4)","0.2 (-4.3, 4.8)","-2.0 (-6.4, 2.4)","-0.2 (NE, NE)","VALUE",5,1,18,0,0
"Age: ≥65 to <75 years","19","","","","","VALUE",2,0,0,0,1
""," "," "," "," "," ","VALUE",2,0,1,0,0
"Calcium (mmol/L)","","","","","","HEADER",2,0,2,0,0
"Baseline","17/19 (89.5%)","2.2866 (2.2463, 2.3269)","","","","VALUE",2,1,3,0,0
"Cycle 02","13/19 (68.4%)","2.2685 (2.2007, 2.3364)","-0.0154 (-0.0729, 0.0422)","0.0372 (-0.0461, 0.1205)","-0.0928 (-0.2389, 0.0534)","VALUE",2,1,4,0,0
