"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows","newpage"
"Age: ≥18 to <65 years","8","5","7","","","VALUE",2,0,0,0,0
""," "," "," "," "," ","VALUE",2,0,1,0,0
"Calcium, low","","","","","","HEADER",2,0,2,0,0
"N","8","5","6","","","N",2,1,3,0,0
"Level 1 (<2.096 mmol/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",2,2,4,0,0
"Level 2 (<1.996 mmol/L)","2 (25.0%)","1 (20.0%)","2 (33.3%)","-8.3 (-56.5, 39.9)","-13.3 (-64.8, 38.2)","VALUE",2,2,5,0,0
"Level 3 (<1.871 mmol/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",2,2,6,0,0
"Glucose, low","","","","","","HEADER",3,0,6,1,0
"N","8","4","7","","","N",3,1,7,0,0
"Level 1 (<3.89 mmol/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",3,2,8,0,0
"Level 2 (<3.00 mmol/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",3,2,9,0,0
"Age: ≥65 to <75 years","16","17","19","","","VALUE",2,0,0,0,1
""," "," "," "," "," ","VALUE",2,0,1,0,0
"Calcium, low","","","","","","HEADER",2,0,2,0,0
"N","14","12","19","","","N",2,1,3,0,0
"Level 1 (<2.096 mmol/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",2,2,4,0,0
"Level 2 (<1.996 mmol/L)","2 (14.3%)","3 (25.0%)","5 (26.3%)","-12.0 (-39.0, 15.0)","-1.3 (-32.8, 30.2)","VALUE",2,2,5,0,0
"Level 3 (<1.871 mmol/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",2,2,6,0,0
"Glucose, low","","","","","","HEADER",3,0,6,1,0
"N","13","12","19","","","N",3,1,7,0,0
"Level 1 (<3.89 mmol/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",3,2,8,0,0
"Level 2 (<3.00 mmol/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",3,2,9,0,0
"Age: ≥75 years","29","51","33","","","VALUE",2,0,0,0,1
""," "," "," "," "," ","VALUE",2,0,1,0,0
"Calcium, low","","","","","","HEADER",2,0,2,0,0
